program_id,country_id,date,year
s1,116.0,2021-09-25,2020
s2,100.0,2021-09-24,2021
s3,,2021-09-24,2021
s4,,2021-09-24,2021
s5,46.0,2021-09-24,2021
s6,,2021-09-24,2021
s7,,2021-09-24,2021
s8,116.0,2021-09-24,1993
s8,40.0,2021-09-24,1993
s8,18.0,2021-09-24,1993
s8,115.0,2021-09-24,1993
s8,39.0,2021-09-24,1993
s8,35.0,2021-09-24,1993
s9,115.0,2021-09-24,2021
s10,116.0,2021-09-24,2021
s11,,2021-09-24,2021
s12,,2021-09-23,2021
s13,39.0,2021-09-23,2021
s13,29.0,2021-09-23,2021
s14,,2021-09-22,2021
s15,,2021-09-22,2021
s16,116.0,2021-09-22,2021
s17,,2021-09-22,2020
s18,68.0,2021-09-22,2020
s19,,2021-09-22,2021
s20,,2021-09-22,2021
s21,,2021-09-22,2021
s22,111.0,2021-09-22,2018
s23,,2021-09-21,1996
s24,,2021-09-21,2021
s25,46.0,2021-09-21,1998
s26,7.0,2021-09-21,2021
s27,,2021-09-21,1997
s28,116.0,2021-09-20,2010
s29,116.0,2021-09-19,2013
s30,116.0,2021-09-19,2013
s30,46.0,2021-09-19,2013
s30,37.0,2021-09-19,2013
s31,,2021-09-17,2021
s32,,2021-09-17,2021
s33,115.0,2021-09-17,2020
s34,,2021-09-17,2021
s35,,2021-09-17,2020
s36,,2021-09-17,2021
s37,,2021-09-17,2021
s38,36.0,2021-09-16,2018
s39,24.0,2021-09-16,2017
s39,21.0,2021-09-16,2017
s39,116.0,2021-09-16,2017
s40,46.0,2021-09-16,2021
s41,116.0,2021-09-16,2021
s42,116.0,2021-09-16,1975
s43,116.0,2021-09-16,1978
s44,116.0,2021-09-16,1983
s45,116.0,2021-09-16,1987
s46,,2021-09-16,2021
s47,100.0,2021-09-16,2012
s47,116.0,2021-09-16,2012
s47,54.0,2021-09-16,2012
s48,,2021-09-16,2020
s49,116.0,2021-09-16,2001
s50,78.0,2021-09-15,2021
s51,46.0,2021-09-15,2014
s52,54.0,2021-09-15,2002
s53,54.0,2021-09-15,2003
s54,54.0,2021-09-15,2004
s55,54.0,2021-09-15,2001
s56,116.0,2021-09-15,2021
s57,54.0,2021-09-15,2011
s58,54.0,2021-09-15,2008
s59,54.0,2021-09-15,2009
s60,54.0,2021-09-15,2007
s61,54.0,2021-09-15,2010
s62,54.0,2021-09-15,2005
s63,54.0,2021-09-15,2006
s64,54.0,2021-09-15,2004
s65,,2021-09-15,2021
s66,115.0,2021-09-15,2021
s67,46.0,2021-09-15,2014
s68,116.0,2021-09-15,1994
s69,,2021-09-15,2021
s70,46.0,2021-09-15,2015
s71,,2021-09-15,2021
s72,,2021-09-14,2021
s73,115.0,2021-09-14,2021
s74,78.0,2021-09-14,2018
s75,,2021-09-14,2021
s76,,2021-09-14,2021
s77,54.0,2021-09-14,2013
s78,,2021-09-11,2021
s79,,2021-09-11,2020
s80,,2021-09-11,2021
s81,,2021-09-10,2021
s82,116.0,2021-09-10,2021
s83,116.0,2021-09-10,2021
s84,,2021-09-10,2021
s85,78.0,2021-09-10,2020
s86,,2021-09-10,2021
s87,,2021-09-10,2021
s88,,2021-09-10,2019
s89,,2021-09-09,2021
s90,,2021-09-09,2017
s91,103.0,2021-09-09,2019
s91,116.0,2021-09-09,2019
s92,37.0,2021-09-09,2021
s93,13.0,2021-09-08,2021
s94,,2021-09-08,2021
s95,115.0,2021-09-08,2018
s95,116.0,2021-09-08,2018
s96,116.0,2021-09-08,2021
s96,115.0,2021-09-08,2021
s97,116.0,2021-09-07,2018
s98,116.0,2021-09-07,2021
s99,115.0,2021-09-07,2021
s100,37.0,2021-09-07,2021
s100,116.0,2021-09-07,2021
s101,,2021-09-07,2019
s102,116.0,2021-09-07,2021
s103,,2021-09-06,2021
s104,,2021-09-06,2020
s105,101.0,2021-09-06,2016
s106,46.0,2021-09-05,2017
s107,116.0,2021-09-05,2021
s108,116.0,2021-09-04,2018
s109,7.0,2021-09-03,2021
s110,103.0,2021-09-03,2021
s111,,2021-09-03,2021
s112,116.0,2021-09-03,2021
s112,96.0,2021-09-03,2021
s113,,2021-09-03,2021
s114,,2021-09-02,2021
s115,46.0,2021-09-02,1994
s116,115.0,2021-09-02,2009
s116,7.0,2021-09-02,2009
s116,37.0,2021-09-02,2009
s117,46.0,2021-09-02,2015
s118,115.0,2021-09-02,2021
s118,116.0,2021-09-02,2021
s119,46.0,2021-09-02,2017
s120,,2021-09-02,2020
s121,7.0,2021-09-02,2021
s122,,2021-09-02,2019
s123,115.0,2021-09-02,2003
s123,7.0,2021-09-02,2003
s123,37.0,2021-09-02,2003
s123,116.0,2021-09-02,2003
s124,,2021-09-02,2012
s125,101.0,2021-09-02,2013
s126,116.0,2021-09-02,2021
s127,46.0,2021-09-02,2020
s128,116.0,2021-09-01,2004
s128,21.0,2021-09-01,2004
s129,,2021-09-01,2017
s130,39.0,2021-09-01,2005
s130,116.0,2021-09-01,2005
s131,,2021-09-01,2021
s132,116.0,2021-09-01,1982
s133,,2021-09-01,2021
s134,100.0,2021-09-01,2015
s134,116.0,2021-09-01,2015
s135,116.0,2021-09-01,1994
s135,68.0,2021-09-01,1994
s136,116.0,2021-09-01,1993
s136,52.0,2021-09-01,1993
s136,37.0,2021-09-01,1993
s136,54.0,2021-09-01,1993
s137,116.0,2021-09-01,2003
s137,52.0,2021-09-01,2003
s137,90.0,2021-09-01,2003
s137,115.0,2021-09-01,2003
s138,7.0,2021-09-01,2001
s138,116.0,2021-09-01,2001
s139,116.0,2021-09-01,2010
s140,116.0,2021-09-01,1989
s141,5.0,2021-09-01,2014
s141,119.0,2021-09-01,2014
s142,116.0,2021-09-01,2015
s142,115.0,2021-09-01,2015
s142,21.0,2021-09-01,2015
s143,39.0,2021-09-01,2007
s143,116.0,2021-09-01,2007
s144,116.0,2021-09-01,2011
s145,116.0,2021-09-01,1990
s146,116.0,2021-09-01,1991
s147,116.0,2021-09-01,1994
s148,,2021-09-01,2021
s149,,2021-09-01,2020
s150,116.0,2021-09-01,1998
s151,116.0,2021-09-01,1999
s152,24.0,2021-09-01,2005
s152,43.0,2021-09-01,2005
s153,116.0,2021-09-01,2016
s154,91.0,2021-09-01,2016
s155,54.0,2021-09-01,2015
s156,115.0,2021-09-01,1986
s156,116.0,2021-09-01,1986
s157,116.0,2021-09-01,2010
s158,21.0,2021-09-01,2018
s159,116.0,2021-09-01,2003
s160,43.0,2021-09-01,2010
s161,116.0,2021-09-01,1992
s162,116.0,2021-09-01,1996
s163,116.0,2021-09-01,2017
s163,24.0,2021-09-01,2017
s163,43.0,2021-09-01,2017
s164,116.0,2021-09-01,2003
s165,116.0,2021-09-01,1999
s166,,2021-09-01,2019
s167,52.0,2021-09-01,1984
s167,116.0,2021-09-01,1984
s168,116.0,2021-09-01,2008
s168,21.0,2021-09-01,2008
s169,116.0,2021-09-01,2001
s170,116.0,2021-09-01,2006
s171,116.0,2021-09-01,1997
s172,116.0,2021-09-01,2017
s173,116.0,2021-09-01,2003
s173,39.0,2021-09-01,2003
s174,116.0,2021-09-01,2015
s175,116.0,2021-09-01,2003
s176,116.0,2021-09-01,1980
s177,116.0,2021-09-01,1986
s178,115.0,2021-09-01,1961
s178,116.0,2021-09-01,1961
s179,116.0,2021-09-01,2014
s180,116.0,2021-09-01,1996
s181,,2021-09-01,2000
s182,,2021-09-01,2021
s183,116.0,2021-09-01,2008
s184,116.0,2021-08-31,1993
s185,116.0,2021-08-31,2021
s186,,2021-08-31,2021
s187,,2021-08-29,2021
s188,,2021-08-29,2021
s189,37.0,2021-08-28,2008
s190,,2021-08-28,2020
s191,46.0,2021-08-28,2021
s192,115.0,2021-08-28,2017
s192,21.0,2021-08-28,2017
s192,116.0,2021-08-28,2017
s193,46.0,2021-08-27,2008
s194,,2021-08-27,2021
s194,101.0,2021-08-27,2021
s195,,2021-08-27,2002
s196,46.0,2021-08-27,2008
s197,,2021-08-27,2021
s198,,2021-08-27,2021
s199,78.0,2021-08-27,2021
s200,46.0,2021-08-27,2006
s201,46.0,2021-08-27,2004
s202,46.0,2021-08-27,2003
s203,46.0,2021-08-27,2005
s204,46.0,2021-08-27,2016
s205,46.0,2021-08-27,2012
s206,46.0,2021-08-27,2001
s207,46.0,2021-08-27,2010
s208,46.0,2021-08-27,2008
s209,46.0,2021-08-27,2010
s210,46.0,2021-08-27,2013
s211,46.0,2021-08-27,2011
s212,46.0,2021-08-27,2014
s213,50.0,2021-08-27,2016
s214,,2021-08-27,2021
s215,,2021-08-27,2021
s216,46.0,2021-08-27,2007
