program_id,actor_id
s2,1684
s2,18234
s2,11245
s2,33196
s2,8764
s2,24440
s2,3162
s2,35519
s2,11594
s2,6806
s2,29224
s2,12047
s2,30435
s2,25367
s2,22657
s2,29787
s2,9133
s2,30670
s2,26131
s3,29663
s3,34015
s3,29729
s3,24110
s3,31493
s3,29486
s3,25282
s3,11411
s3,3840
s5,22536
s5,15517
s5,27651
s5,961
s5,769
s5,28046
s5,34354
s5,3233
s6,17533
s6,36143
s6,12341
s6,12827
s6,18772
s6,29642
s6,13348
s6,27414
s6,2668
s6,2660
s6,1196
s6,27402
s6,22218
s6,23135
s6,7279
s6,20304
s7,34476
s7,18489
s7,14252
s7,31487
s7,20121
s7,17913
s7,9631
s7,14408
s7,23045
s7,26710
s8,18622
s8,25716
s8,1322
s8,24813
s8,24061
s8,633
s8,27918
s8,24096
s9,22662
s9,32192
s9,22029
s9,26248
s10,22722
s10,6494
s10,18124
s10,33512
s10,7922
s10,31432
s10,19234
s10,28915
s10,18474
s10,20235
s10,27753
s12,32243
s12,32483
s12,26408
s12,29404
s12,32499
s12,4319
s12,8191
s12,35117
s12,18582
s12,276
s12,25228
s12,18583
s12,3106
s12,14743
s12,25864
s12,25865
s12,18875
s12,26784
s12,13718
s12,17778
s12,25854
s12,32382
s12,32168
s12,34898
s12,26897
s13,20606
s13,14479
s13,23407
s13,9330
s13,2599
s13,21877
s13,34649
s13,10837
s13,3738
s13,20707
s13,9639
s14,18597
s14,20398
s14,14490
s14,21451
s14,18534
s14,10721
s14,11181
s14,5273
s14,19647
s14,14031
s16,20158
s16,4772
s16,8512
s16,2831
s16,15962
s16,3312
s16,21885
s16,11621
s18,20496
s18,5363
s18,30515
s18,29610
s18,9378
s18,31652
s18,1090
s18,3719
s18,34341
s18,11121
s18,11207
s18,21468
s19,11067
s19,20166
s19,28542
s19,22591
s19,30005
s19,12652
s19,21832
s19,4761
s19,2891
s19,6966
s20,4568
s20,13747
s20,22
s20,547
s20,10931
s20,31867
s20,16737
s20,1497
s22,9978
s22,30487
s22,12222
s22,17083
s22,10241
s22,25672
s22,30486
s22,5845
s22,28035
s22,12385
s23,17188
s23,22568
s23,11422
s23,12728
s23,24342
s23,29282
s24,21014
s24,26259
s24,18039
s24,322
s25,27039
s25,827
s25,31799
s25,24342
s26,5058
s27,3251
s27,17156
s27,26989
s27,24342
s27,29282
s27,11742
s28,424
s28,18116
s28,6506
s28,8138
s28,28473
s28,29504
s28,21523
s28,22497
s28,7037
s28,33471
s28,16571
s29,18027
s29,16471
s29,13820
s29,7395
s29,17095
s29,19000
s29,28123
s29,24080
s29,2731
s29,14109
s30,19793
s30,11336
s30,1775
s30,12531
s30,20396
s30,9771
s30,16785
s30,16475
s30,28161
s30,2398
s31,285
s31,28374
s31,8369
s31,18865
s31,36409
s31,24979
s31,25818
s32,19270
s32,28904
s32,29097
s32,15378
s32,13373
s32,16081
s32,22291
s32,4606
s32,23341
s32,17648
s32,6527
s33,3262
s33,11671
s33,24577
s33,9907
s33,7084
s33,17763
s33,1557
s34,19459
s34,25919
s34,35226
s34,25382
s34,16933
s34,12838
s34,18369
s34,34089
s34,35872
s34,19522
s35,7421
s35,14581
s35,4658
s35,14998
s35,24262
s36,581
s36,9522
s36,16687
s36,34452
s36,34156
s36,34883
s36,27333
s36,26675
s36,4640
s36,7249
s37,11668
s37,17378
s37,10910
s37,342
s37,18018
s37,7324
s37,22880
s37,13335
s37,34805
s37,14816
s38,2898
s38,12776
s38,20666
s38,26019
s38,27736
s39,4475
s39,28845
s39,27192
s39,33141
s39,34495
s39,15481
s39,26734
s39,35495
s39,35941
s40,34521
s40,16848
s40,29092
s40,15355
s40,27483
s40,23957
s40,32548
s41,36054
s41,18468
s41,2896
s41,34052
s41,4081
s41,12051
s41,8049
s41,33698
s41,16689
s41,28729
s41,11033
s42,29020
s42,28581
s42,28161
s42,20254
s42,24044
s42,5456
s42,14882
s42,32422
s42,16156
s42,33036
s43,29020
s43,20254
s43,24044
s43,16431
s43,14882
s43,7052
s43,2558
s43,21789
s43,3917
s43,32438
s44,8455
s44,4246
s44,31313
s44,20289
s44,15969
s44,19365
s44,25726
s44,7465
s44,20115
s44,20037
s45,20254
s45,19110
s45,21706
s45,17361
s45,22925
s45,16681
s45,23608
s45,20665
s47,8471
s47,29212
s47,34565
s47,4816
s47,29594
s47,29034
s47,25230
s47,28565
s47,19788
s47,15722
s48,25651
s48,13535
s48,17897
s48,33862
s48,9247
s48,10236
s48,26104
s48,17370
s48,33076
s48,33494
s49,8471
s49,10285
s49,30226
s49,33651
s49,12528
s49,27813
s49,6955
s49,9086
s49,31461
s49,20778
s49,10358
s50,28221
s50,7390
s50,4487
s50,4576
s50,8594
s50,10300
s50,8467
s50,9144
s50,9479
s50,455
s50,2351
s50,18171
s50,16674
s50,1711
s51,17451
s51,5914
s51,8800
s51,2541
s51,27154
s51,2522
s51,180
s51,1843
s51,21092
s52,17310
s52,30125
s52,23271
s52,18642
s52,13066
s52,18860
s52,25250
s52,17950
s52,33985
s52,13793
s53,17310
s53,30125
s53,18642
s53,13066
s53,18860
s53,17922
s53,901
s53,18288
s54,17310
s54,30125
s54,18642
s54,13066
s54,18860
s54,25250
s54,17922
s54,6363
s54,21137
s54,25173
s55,17310
s55,30125
s55,18642
s55,13066
s55,18860
s55,17950
s55,25250
s55,12973
s55,17922
s55,33832
s56,24906
s56,14020
s57,16975
s57,6271
s57,28338
s57,17732
s57,22092
s57,23269
s57,35972
s57,17946
s57,18685
s57,22095
s58,16975
s58,6271
s58,25247
s58,34331
s58,23948
s58,17732
s58,28338
s58,31096
s58,24243
s58,30122
s58,31001
s59,16975
s59,6271
s59,17732
s59,30122
s59,31096
s59,18008
s59,29242
s59,18631
s59,24243
s59,31001
s59,35774
s59,18636
s59,35987
s60,16975
s60,6271
s60,35774
s60,18636
s60,3695
s60,17803
s60,7374
s60,11098
s60,12892
s60,33180
s60,18561
s60,23649
s60,17679
s60,22095
s60,17794
s60,22107
s60,17732
s60,31096
s60,28811
s60,7376
s60,30413
s61,16975
s61,6271
s61,30122
s61,28338
s61,25166
s61,17953
s61,17794
s61,29901
s61,36030
s61,36012
s61,11087
s61,24064
s61,22524
s61,33985
s62,16975
s62,11263
s62,6271
s62,31096
s62,906
s62,35665
s62,34336
s62,29354
s62,13066
s62,32704
s63,16975
s63,6271
s63,35774
s63,17732
s63,901
s63,18984
s63,21652
s63,34310
s63,22110
s63,12976
s64,16975
s64,25247
s64,6271
s64,17732
s64,35959
s64,34137
s64,12963
s64,16905
s64,12489
s64,13387
s65,35385
s65,19823
s65,18817
s66,4253
s66,8032
s66,21370
s66,33113
s68,21859
s68,33394
s68,21700
s68,19161
s68,9603
s68,9173
s68,8442
s69,23104
s71,13728
s72,10387
s72,10160
s72,14846
s72,11033
s72,10378
s72,14498
s72,31193
s72,6510
s72,12655
s73,13928
s73,23148
s74,31528
s74,485
s74,27973
s74,33582
s74,33862
s74,26301
s74,15350
s74,30774
s76,3986
s76,14559
s77,7369
s77,18631
s77,16900
s77,12954
s77,31096
s77,18008
s77,7374
s77,35861
s77,16964
s77,3626
s77,22621
s77,33823
s77,34133
s77,33180
s77,30122
s77,12971
s77,3462
s77,18645
s77,18699
s77,12940
s77,35141
s77,35972
s77,17955
s77,21141
s77,7376
s77,36025
s77,16901
s78,32296
s78,15354
s78,31575
s78,24694
s78,11269
s78,2667
s78,2036
s78,21220
s79,34744
s79,25988
s79,27254
s80,34744
s80,25988
s80,27254
s81,33311
s81,10661
s81,11043
s81,26148
s81,22577
s81,29860
s81,25213
s82,22035
s82,16906
s82,35429
s82,32642
s82,23643
s82,23244
s82,23400
s83,33671
s83,19277
s83,18064
s83,7333
s83,19683
s83,30200
s83,27262
s83,813
s83,34074
s83,33745
s83,15067
s83,26474
s83,22977
s84,15540
s85,11106
s85,3676
s85,6324
s85,35693
s85,4576
s85,8594
s85,1369
s85,36413
s85,33527
s85,10696
s86,13383
s86,30006
s86,36255
s86,6204
s86,14187
s86,23192
s86,28688
s86,27780
s86,5696
s86,32904
s87,8056
s87,12435
s87,21537
s87,28522
s87,36043
s87,18602
s87,20105
s87,24672
s88,15029
s88,18327
s88,13028
s88,24221
s88,34304
s89,21089
s89,23989
s90,16848
s90,Sabina Malik
s90,15355
s90,29092
s90,19073
s90,27493
s90,27483
s91,9912
s91,7708
s91,3597
s91,9465
s91,23434
s91,15084
s91,3159
s91,7594
s93,26382
s93,19316
s93,31873
s93,22642
s93,3789
s93,14378
s93,18827
s93,34819
s93,27925
s93,1014
s93,24113
s94,9725
s94,24059
s94,16212
s94,20915
s94,20209
s94,1052
s94,31316
s94,9726
s94,16398
s94,35772
s95,35246
s95,20461
s95,24432
s95,31851
s95,16295
s95,11179
s95,30734
s95,25542
s95,968
s95,2314
s95,8357
s95,18044
s96,23202
s97,28879
s97,11339
s97,1585
s97,19632
s97,4592
s97,4478
s97,9267
s97,3208
s97,32016
s97,16044
s98,13886
s98,33698
s98,1716
s98,18447
s98,17814
s98,12051
s98,19892
s99,2855
s99,6327
s99,31305
s99,33113
s99,31306
s99,17501
s99,26288
s99,28468
s99,35349
s99,12758
s99,17829
s99,2222
s99,15547
s100,16821
s100,9577
s100,29992
s100,1352
s100,22183
s100,34109
s100,33495
s100,11739
s101,3538
s101,34038
s101,7007
s101,2588
s101,15193
s101,4893
s101,22886
s101,16422
s101,5288
s104,15350
s104,25582
s104,35691
s104,31528
s104,17907
s104,33996
s104,30398
s104,15345
s104,28989
s104,25732
s104,27266
s104,3961
s104,20431
s104,20883
s105,28661
s105,17196
s106,2897
s106,28037
s106,4501
s106,34848
s106,18255
s106,31789
s106,30044
s106,33564
s106,2054
s106,4521
s106,31370
s107,26683
s107,17324
s107,31416
s107,23534
s107,18104
s107,24472
s107,25063
s108,21168
s108,7985
s108,9000
s108,8548
s108,13648
s108,3070
s109,3486
s109,29758
s109,22858
s109,22783
s109,11535
s109,29190
s109,16474
s109,1293
s110,3413
s110,13737
s110,82
s110,25771
s110,9998
s110,26442
s110,21319
s110,1013
s110,23286
s110,14088
s110,10262
s110,7839
s110,18579
s112,19799
s112,8294
s112,12051
s112,16483
s112,17368
s112,16689
s112,1438
s113,23015
s113,31851
s113,1944
s113,31165
s113,3456
s113,32963
s113,19212
s113,6516
s114,34693
s114,23268
s114,28660
s114,381
s114,33515
s114,11813
s114,24070
s114,31779
s115,20827
s115,30618
s115,33544
s115,16054
s115,17180
s115,12921
s115,32171
s115,4028
s115,18523
s116,197
s116,4129
s116,26303
s116,18037
s116,9327
s116,33311
s116,6917
s116,11569
s116,2846
s116,29740
s117,18808
s117,12873
s117,34874
s117,12112
s117,32408
s117,34738
s117,27504
s117,25072
s119,927
s119,25859
s119,27387
s119,118
s119,30660
s119,3298
s120,14469
s120,14758
s120,34644
s120,35717
s120,20263
s121,16078
s121,17841
s121,15668
s121,17131
s122,19448
s122,35704
s122,30978
s122,30466
s122,3811
s122,27168
s122,6370
s122,17247
s122,19407
s122,19513
s122,17254
s122,25972
s122,25376
s123,22584
s123,21825
s123,14975
s123,24792
s123,30780
s123,18071
s123,35538
s123,12700
s126,30290
s126,35066
s126,19328
s126,8024
s126,11324
s126,26172
s126,22263
s127,105
s127,29369
s127,36181
s127,27133
s127,4327
s127,3373
s127,10583
s127,29400
s128,12906
s128,5879
s128,14957
s128,7469
s128,27930
s128,16828
s128,19916
s128,20811
s128,2154
s128,22060
s128,26295
s128,35218
s128,18121
s128,10115
s128,31308
s129,11791
s129,33110
s129,22434
s129,11671
s129,6603
s129,31871
s129,16790
s129,13046
s129,6568
s129,1710
s130,28576
s130,14983
s130,23903
s130,16482
s130,7429
s130,5398
s130,4015
s130,20649
s130,28457
s130,25724
s131,1811
s131,1778
s131,11753
s131,1109
s131,8810
s132,12531
s132,29137
s132,30324
s132,9395
s132,20679
s132,7876
s132,35342
s132,5002
s132,15703
s132,15573
s132,14231
s132,23911
s133,34127
s133,17294
s133,6253
s133,22758
s133,13107
s133,20695
s133,6183
s133,32301
s133,17125
s133,6189
s133,24807
s133,19912
s133,23259
s133,20089
s133,15330
s134,30760
s134,13139
s134,31249
s134,8545
s134,25081
s134,35790
s134,16394
s134,4757
s134,16042
s134,22377
s135,12531
s135,35289
s135,2671
s135,15609
s135,12806
s135,12528
s135,8962
s135,23293
s135,4151
s135,8228
s135,33364
s135,14206
s135,27812
s136,32589
s136,15927
s136,23097
s136,14470
s136,28051
s136,5642
s136,19624
s136,7205
s136,27553
s136,22447
s136,26329
s137,16675
s137,24915
s137,28000
s137,9445
s137,4816
s137,26739
s137,24404
s137,11739
s137,8966
s137,27800
s138,26247
s138,19951
s138,15062
s138,16142
s138,791
s138,1070
s138,11587
s138,32041
s138,30496
s138,26295
s138,21749
s138,33552
s138,11978
s138,23373
s139,5949
s139,1745
s139,28194
s139,12827
s139,7337
s139,7289
s139,11391
s139,16392
s139,17824
s139,30250
s140,7737
s140,25675
s140,29048
s140,28166
s140,11621
s140,31782
s140,4427
s140,16005
s140,26196
s140,11013
s140,29731
s140,28958
s140,21974
s140,23293
s141,15603
s141,20524
s141,12106
s141,20725
s141,11578
s141,34698
s141,2171
s142,5095
s142,17840
s142,11687
s142,7332
s142,16525
s142,32010
s142,7464
s142,12696
s143,12910
s143,26102
s143,30226
s143,13444
s143,2983
s143,21681
s143,18770
s143,13963
s143,30521
s143,14565
s143,8242
s143,34488
s144,29212
s144,4557
s144,26641
s144,21837
s144,33483
s144,14700
s144,32675
s144,2383
s145,6711
s145,6697
s145,28638
s145,33556
s145,11
s145,21974
s145,26192
s145,4701
s145,4295
s145,9337
s145,17859
s145,6959
s145,34587
s146,6711
s146,6697
s146,21974
s146,4701
s146,26192
s146,4295
s146,33556
s146,17208
s146,13432
s146,27197
s147,6711
s147,6697
s147,33556
s147,7996
s147,2395
s147,18061
s147,4231
s147,22942
s147,6520
s147,18224
s149,12285
s149,6326
s149,25642
s149,10842
s149,9772
s149,2806
s149,25529
s149,31519
s150,22147
s150,2790
s150,12045
s150,11019
s150,28200
s150,15663
s150,35321
s150,2764
s150,33815
s150,12751
s150,16012
s150,22856
s151,25546
s151,20140
s151,24729
s151,31851
s151,25821
s151,12916
s151,14138
s151,8101
s151,34601
s151,28819
s151,28549
s151,11275
s151,13774
s151,8943
s151,24067
s151,24339
s151,15111
s152,14685
s152,2695
s152,9332
s152,Anthony Wong Chau-sang
s152,30838
s152,5963
s152,16256
s152,17987
s153,14075
s153,20558
s153,14308
s153,7640
s153,4003
s154,20238
s154,17488
s154,4452
s154,21356
s154,10124
s155,17997
s155,35995
s155,6341
s155,35854
s155,12947
s155,17953
s155,32749
s155,31521
s155,32974
s155,11830
s155,7376
s155,29239
s155,16964
s155,17748
s155,11098
s155,17951
s155,18561
s155,12959
s156,7957
s156,14956
s156,10995
s156,18084
s156,2759
s156,7905
s156,4905
s156,28834
s156,17354
s156,30750
s157,1745
s157,6672
s157,11234
s157,34485
s157,10976
s157,20530
s157,21673
s157,23411
s157,21402
s157,20525
s157,19817
s157,11717
s157,6451
s158,17632
s158,5826
s158,26635
s158,29916
s158,1368
s158,1702
s158,16449
s158,18252
s159,24788
s159,6609
s159,17939
s159,17161
s159,32021
s159,939
s159,3325
s159,9557
