program_id,director_id
s1,2544
s3,2341
s6,3176
s7,3928
s7,2272
s8,1660
s9,349
s10,4593
s12,2555
s13,891
s14,709
s17,3587
s17,3483
s19,78
s21,3446
s23,2383
s24,204
s24,4380
s25,4050
s27,3766
s28,1180
s29,4194
s30,3934
s31,467
s31,48
s31,4079
s36,1039
s37,732
s39,1562
s42,4441
s43,1991
s44,2107
s45,2286
s46,4738
s47,1019
s48,720
s49,404
s52,4706
s53,4706
s54,4706
s55,4706
s57,2976
s58,1662
s59,2976
s60,1662
s61,2976
s62,1756
s63,4709
s64,4577
s65,1149
s69,1684
s69,4773
s69,3141
s72,1071
s74,2461
s76,566
s78,3685
s79,1172
s80,1172
s81,4683
s82,780
s85,2095
s85,1489
s87,4604
s89,2882
s91,236
s92,3230
s92,3534
s94,214
s95,3754
s97,4408
s102,800
s102,2790
s103,1937
s104,4934
s106,2691
s108,1088
s111,2754
s111,1961
s113,4149
s114,4406
s115,3739
s116,1922
s117,3276
s118,2766
s119,4256
s120,2311
s123,1922
s127,4798
s128,2940
s129,1581
s130,2620
s131,4191
s132,3889
s134,3327
s135,3657
s136,3835
s137,396
s138,4328
s139,2620
s140,4365
s141,4208
s142,4434
s143,3870
s144,2957
s145,3823
s146,1559
s146,1241
s147,1338
s149,1570
s150,3112
s151,3127
s152,332
s152,153
s153,670
s156,2086
s157,1533
s158,1049
s159,4728
s160,3505
s162,4621
s163,3823
s164,1151
s165,2533
s167,4227
s168,3022
s168,4651
s169,634
s169,3603
s170,4897
s171,3626
s172,3078
s173,3872
s174,287
s175,404
s176,3793
s177,3125
s178,1842
s179,1371
s179,4234
s180,4674
s181,3623
s183,2821
s184,4897
s186,800
s186,2790
s189,3789
s189,8
s191,4259
s192,4567
s193,4069
s196,4172
s197,2945
s199,2461
s200,3521
s201,4147
s202,367
s202,417
s203,4130
s204,4750
s205,4069
s206,1089
s207,1206
s208,425
s209,3195
s210,3195
s211,3580
s212,601
s215,2803
s216,425
s217,3751
s217,2564
s218,3195
s222,2303
s223,641
s224,3029
s224,4563
s228,357
s229,3980
s230,898
s231,4033
s232,1129
s234,2929
s236,973
s237,3802
s238,3802
s239,3802
s240,3802
s241,1674
s245,2410
s247,4941
s248,673
s250,1068
s251,4782
s252,1244
s253,3160
s254,2837
s256,3099
s257,4711
s258,2837
s259,233
s260,3480
s262,709
s263,2623
s265,4417
s268,1922
s269,3241
s271,1416
s274,2315
s277,1812
s279,2332
s280,4443
s282,807
s283,2333
s284,4092
s285,4820
s286,2253
s288,4080
s291,1441
s293,1253
s294,100
s295,1746
s296,3712
s298,552
s298,3700
s298,2414
s298,4778
s298,2415
s298,455
s298,3802
s298,4162
s298,1541
s299,2436
s300,2364
s301,2541
s301,652
s302,3991
s303,776
s303,2743
s304,169
s305,2624
s306,2872
s307,1839
s308,3632
s309,4496
s311,612
s315,1897
s316,837
s317,1770
s318,2572
s319,1367
s319,3129
s326,680
s327,3966
s328,3951
s329,4652
s330,4441
s331,3641
s331,907
s333,3835
s334,2165
s335,2365
s336,2125
s338,2924
s340,2801
s340,1769
s341,909
s342,3569
s343,3351
s344,1766
s345,1766
s346,1094
s347,1101
s348,2262
s349,4974
s350,1527
s351,935
s352,4723
s353,2458
s354,4662
s355,4700
s356,643
s357,4519
s358,641
s359,1816
s360,4365
s361,1516
s363,2471
s364,1956
s366,3278
s368,4217
s372,3278
s373,2452
s374,1084
s375,3148
s376,4442
s378,1029
s379,2728
s381,1594
s384,3778
s385,1079
s388,2637
s389,4024
s389,3852
s390,4963
s393,3709
s394,928
s395,3261
s396,2880
s397,3629
s399,2527
s403,488
s406,4315
s407,3764
s408,3764
s409,3764
s410,3764
s411,3764
